"","colMeans.random_costs..na.rm...TRUE."
"X1",373.860898841607
"X2",373.926411610836
"X3",369.763901279824
"X4",380.349821800941
"X5",371.554373616589
"X6",372.988455878714
"X7",373.054034964393
"X8",372.150926686367
"X9",376.757270418515
"X10",373.472718653384
"X11",372.336235384748
"X12",376.524487807066
"X13",377.199789740468
"X14",377.939335182773
"X15",368.585521073979
"X16",365.166730699616
"X17",376.381264416617
"X18",376.97680147665
"X19",370.515732372834
"X20",373.326162178724
"X21",378.069125201661
"X22",374.148308063408
"X23",372.757092388311
"X24",378.144770647234
"X25",372.82342614999
"X26",372.268486595688
"X27",376.677218502939
"X28",378.537781931974
"X29",373.594643409199
"X30",370.273244678176
"X31",377.039654563864
"X32",372.534727885138
"X33",376.799342975823
"X34",373.848328492261
"X35",375.528072697098
"X36",373.472265457326
"X37",380.670310404646
"X38",373.439494056753
"X39",374.875103841922
"X40",384.594904449861
"X41",380.515424798965
"X42",373.74386616088
"X43",379.674878408847
"X44",373.710520199268
"X45",377.024045409983
"X46",372.696499035998
"X47",373.288032512045
"X48",378.420788425506
"X49",374.410779956474
"X50",370.874446250736
"X51",382.924776318047
"X52",375.741509766724
"X53",374.381047285842
"X54",377.053972788736
"X55",373.038007173717
"X56",374.964225289997
"X57",376.883177762152
"X58",371.171805746356
"X59",372.514337113097
"X60",372.631760141288
"X61",373.378574025378
"X62",374.374239039089
"X63",373.037843268651
"X64",384.144390231239
"X65",374.594024886715
"X66",369.562062171032
"X67",375.525564442914
"X68",376.24400770234
"X69",378.420526411759
"X70",372.853266119571
"X71",374.458053413344
"X72",375.462918703104
"X73",372.035518643193
"X74",374.272173220051
"X75",383.995834509678
"X76",373.526357357812
"X77",372.180349000558
"X78",372.232655378629
"X79",374.033577979237
"X80",376.95276233216
"X81",369.65532166528
"X82",374.210796689899
"X83",378.044132901146
"X84",370.390136721971
"X85",374.479691034855
"X86",372.651298622776
"X87",371.805895555726
"X88",373.838994932669
"X89",374.747836342734
"X90",374.152598019439
"X91",369.411022630534
"X92",368.192770885051
"X93",376.820211048215
"X94",374.43806582443
"X95",377.091450998003
"X96",373.94990484073
"X97",364.839535581745
"X98",370.08067757825
"X99",378.443253577274
"X100",375.624199018566
"X101",372.357631472608
"X102",374.609658951396
"X103",377.047545660843
"X104",374.793674419635
"X105",381.180220429668
"X106",378.505654205238
"X107",378.356173263662
"X108",374.985221931649
"X109",372.805102770637
"X110",374.475387926449
"X111",384.48684196816
"X112",376.534257911477
"X113",370.935458691672
"X114",380.445109601887
"X115",372.946391082952
"X116",377.359086874227
"X117",373.351615936307
"X118",367.629924138005
"X119",374.22989864885
"X120",373.479105560095
"X121",369.270681499012
"X122",376.786222800304
"X123",375.590433013644
"X124",374.41224907924
"X125",379.560850092704
"X126",373.191430427178
"X127",374.757012424353
"X128",374.025288545535
"X129",375.944802772971
"X130",381.411680323892
"X131",374.274434897071
"X132",372.449474525151
"X133",373.272418189993
"X134",378.358151200007
"X135",381.646296350532
"X136",374.956344936659
"X137",375.769391065914
"X138",377.526520183264
"X139",371.389282567979
"X140",373.250801357468
"X141",370.911243655092
"X142",374.426297988609
"X143",380.872133726753
"X144",375.466190080083
"X145",377.865095261213
"X146",376.056032159732
"X147",378.533455620757
"X148",376.129988707427
"X149",370.607541204673
"X150",373.343017047207
"X151",370.419493140331
"X152",371.96670132438
"X153",375.395395526666
"X154",375.858923405156
"X155",380.565931659233
"X156",376.358195400677
"X157",373.368363007042
"X158",372.331717088749
"X159",370.382365276878
"X160",375.946162494315
"X161",370.179879864455
"X162",374.843011953384
"X163",377.506720496367
"X164",374.92456528799
"X165",377.501322803397
"X166",374.081064768855
"X167",372.824419135963
"X168",368.544990544804
"X169",378.45682473949
"X170",380.334241725587
"X171",372.525013110989
"X172",375.936135783267
"X173",374.831501010401
"X174",374.54635091447
"X175",368.328747453825
"X176",376.203298830507
"X177",374.381379875561
"X178",376.138368534281
"X179",382.872967371536
"X180",381.722028031436
"X181",370.973570624678
"X182",372.177363856599
"X183",374.673840660259
"X184",376.21328744735
"X185",371.576716598469
"X186",373.959301728687
"X187",376.222920789664
"X188",371.398144945982
"X189",381.583194620751
"X190",376.051246767223
"X191",370.171310386872
"X192",376.562993728857
"X193",377.266275756763
"X194",374.008987910931
"X195",370.549707634803
"X196",375.11246403239
"X197",369.196599506435
"X198",369.666444098257
"X199",378.545774058256
"X200",372.113679423255
"X201",374.557236208287
"X202",378.686052841892
"X203",376.0398093219
"X204",373.306041910623
"X205",377.779263912888
"X206",373.290989216726
"X207",377.658243776881
"X208",371.037028599171
"X209",375.213143199624
"X210",374.866703771512
"X211",374.49582142427
"X212",375.865694255479
"X213",375.897415020343
"X214",374.762972462007
"X215",375.526600158788
"X216",373.107832844445
"X217",372.865051667163
"X218",371.937083390667
"X219",370.931378060114
"X220",375.233727230384
"X221",384.521622751935
"X222",371.166729848201
"X223",375.896377468399
"X224",371.967145809128
"X225",376.68138022096
"X226",368.033739541562
"X227",374.865828454262
"X228",372.461138966229
"X229",377.189844251248
"X230",371.475497938661
"X231",376.077798578427
"X232",373.669400901624
"X233",375.104317085088
"X234",377.906073186262
"X235",377.921392522699
"X236",375.692715674912
"X237",375.114691390819
"X238",372.197995570282
"X239",376.239879739664
"X240",374.921003618496
"X241",374.676055069082
"X242",373.633895208515
"X243",376.005895985486
"X244",379.383741466339
"X245",378.791128690699
"X246",369.810367755626
"X247",376.388245148504
"X248",378.155050407913
"X249",373.844421005206
"X250",375.476004157326
"X251",379.492362303729
"X252",377.212411180812
"X253",372.511588784224
"X254",375.48385334053
"X255",371.733934198046
"X256",374.045655065186
"X257",374.153679345142
"X258",377.115470643337
"X259",382.626676453336
"X260",370.612701711072
"X261",374.513623399572
"X262",370.510308467136
"X263",377.717547786834
"X264",376.494129170228
"X265",370.820020093522
"X266",380.327136237546
"X267",374.407231825939
"X268",366.73177799749
"X269",370.593298172844
"X270",372.82336660824
"X271",370.619923415119
"X272",381.97000152235
"X273",373.937751299678
"X274",374.406089620463
"X275",369.471177047796
"X276",378.725743690365
"X277",366.586118221177
"X278",378.615684773529
"X279",372.610414723266
"X280",375.330412649525
"X281",371.181053551404
"X282",373.381126305836
"X283",370.865520948747
"X284",374.552860454676
"X285",377.929857176102
"X286",377.449543675576
"X287",371.758931534416
"X288",373.565381106954
"X289",374.226913877088
"X290",372.140292720458
"X291",373.129464079942
"X292",381.328508233054
"X293",376.922634638366
"X294",370.858948648211
"X295",373.484162641757
"X296",370.681321783194
"X297",372.018247702428
"X298",379.319163544897
"X299",376.798436581076
"X300",380.61454066163
"X301",373.811661090678
"X302",375.698318025794
"X303",375.865750433292
"X304",374.215208322002
"X305",373.655613983934
"X306",373.373345806792
"X307",375.012288173217
"X308",378.025212130016
"X309",374.987581740831
"X310",376.076418646171
"X311",373.214829708762
"X312",371.883081953328
"X313",373.508830245525
"X314",376.348475529474
"X315",380.021363244665
"X316",377.862971668399
"X317",372.327816095702
"X318",371.466522187888
"X319",377.785264102683
"X320",379.413673339588
"X321",373.124057782874
"X322",374.495169850233
"X323",374.012433134385
"X324",375.713583091234
"X325",377.214980783279
"X326",372.816095803869
"X327",370.846702133623
"X328",377.009261402721
"X329",372.465556664772
"X330",371.708399230675
"X331",377.498122025611
"X332",371.217170503631
"X333",377.954577827671
"X334",366.665586895016
"X335",368.460873047316
"X336",377.416608754423
"X337",365.672255710692
"X338",374.248533982159
"X339",375.965023070018
"X340",376.432056209844
"X341",374.512062928108
"X342",372.334182832008
"X343",372.840888367168
"X344",375.01494497481
"X345",379.82080880117
"X346",373.10200495914
"X347",373.56932062429
"X348",373.754585078669
"X349",377.446291468165
"X350",377.982233624041
"X351",371.842031340321
"X352",373.911144484731
"X353",380.462276582142
"X354",372.586375438147
"X355",368.967361167364
"X356",377.388525855768
"X357",374.069841716907
"X358",375.705066852032
"X359",372.628430886123
"X360",376.31992368272
"X361",371.214780962482
"X362",378.826598615173
"X363",371.192327582596
"X364",382.175574009533
"X365",375.440542041166
"X366",374.838231540379
"X367",380.9833108637
"X368",374.793483566857
"X369",367.914694473812
"X370",373.381900422425
"X371",376.566976109853
"X372",370.425322519393
"X373",369.594957951644
"X374",371.897910042598
"X375",379.951241961922
"X376",370.792991721439
"X377",370.174038210574
"X378",378.471964459071
"X379",375.114655403223
"X380",376.79709511649
"X381",379.60329174031
"X382",379.107520491328
"X383",371.729184840894
"X384",372.997733030316
"X385",377.591134759439
"X386",375.173725340466
"X387",370.61134450109
"X388",378.348947074174
"X389",370.856924412299
"X390",376.72821707632
"X391",375.28301532549
"X392",373.538238018681
"X393",374.345048868617
"X394",373.26764764697
"X395",368.379330700387
"X396",371.043910241956
"X397",376.109453108719
"X398",374.472198722042
"X399",375.590407597421
"X400",372.837101699355
"X401",376.480649522993
"X402",374.876431001822
"X403",373.890473529231
"X404",380.578406895604
"X405",370.806072835781
"X406",380.2941767177
"X407",373.340424460078
"X408",378.603425981005
"X409",381.259162488306
"X410",377.161217415947
"X411",374.604701253346
"X412",374.417248886076
"X413",367.824599525954
"X414",376.355812359804
"X415",370.31623035043
"X416",379.280491909249
"X417",374.906548128719
"X418",381.435470970125
"X419",382.339022162848
"X420",374.096382736707
"X421",377.571082101553
"X422",371.28003398613
"X423",374.758931346981
"X424",382.940245789893
"X425",368.379883354744
"X426",371.747265343326
"X427",377.333740470224
"X428",369.940747845996
"X429",373.119097184754
"X430",373.699411801318
"X431",379.167191302437
"X432",376.057707762726
"X433",382.153438864984
"X434",371.131015588214
"X435",380.864932152866
"X436",371.689591409146
"X437",369.641315288448
"X438",375.238784579364
"X439",373.295899343046
"X440",373.107551477465
"X441",377.00255379649
"X442",379.581447125269
"X443",370.945286892097
"X444",371.357652887754
"X445",369.54712807472
"X446",375.483228593814
"X447",376.123651479586
"X448",378.92997760293
"X449",372.452133214264
"X450",375.820947858973
"X451",379.504863228521
"X452",374.912315267991
"X453",373.672551071101
"X454",375.809622030775
"X455",376.871314462858
"X456",377.187045388009
"X457",377.085208422186
"X458",374.556118154374
"X459",378.560195665268
"X460",383.501614500324
"X461",379.301477950441
"X462",375.989029262746
"X463",376.953874567411
"X464",374.794692650841
"X465",373.212504327491
"X466",370.981385948061
"X467",379.076697764483
"X468",373.114401646824
"X469",375.980314267162
"X470",375.58147013056
"X471",371.735111532547
"X472",373.674550822695
"X473",365.717121387065
"X474",376.476571013185
"X475",375.71867752832
"X476",379.174579418968
"X477",376.666783932194
"X478",374.846340499005
"X479",377.902056879716
"X480",375.582921206318
"X481",375.684760934978
"X482",371.160009867515
"X483",370.717452351639
"X484",376.855431187513
"X485",369.030374914131
"X486",365.562180623017
"X487",376.233188139954
"X488",374.05966250268
"X489",379.726804043076
"X490",375.163449637091
"X491",379.514244296942
"X492",372.610959066371
"X493",371.475511542094
"X494",373.766578802095
"X495",377.27846068124
"X496",380.466235295353
"X497",377.394261604446
"X498",369.6923286326
"X499",376.987940944105
"X500",375.474174097757
"X501",375.674248069648
"X502",377.922139007582
"X503",376.920978982128
"X504",377.188488704784
"X505",369.085205640882
"X506",377.107973335307
"X507",376.536002919557
"X508",377.498128506239
"X509",375.013123193886
"X510",375.220865185385
"X511",375.213266651919
"X512",375.506727956702
"X513",373.607886382024
"X514",373.103075128308
"X515",373.359563092835
"X516",373.282471547498
"X517",379.781175801237
"X518",372.41962086638
"X519",373.417293135302
"X520",378.719875990144
"X521",372.221609071359
"X522",376.626889807211
"X523",375.985203839236
"X524",369.342632591347
"X525",377.309416853333
"X526",376.462871261384
"X527",372.5781890797
"X528",369.625488832138
"X529",374.755228714404
"X530",371.310958540922
"X531",375.672985626908
"X532",371.961851425934
"X533",377.203907562074
"X534",378.707286603463
"X535",379.603013135615
"X536",373.129311864889
"X537",377.460387578991
"X538",379.147085529757
"X539",369.309958039008
"X540",375.8559162335
"X541",380.722768839122
"X542",370.393944650246
"X543",376.837268045081
"X544",377.742016165761
"X545",373.799848420548
"X546",375.753251030717
"X547",380.503137850407
"X548",378.835893010322
"X549",372.21602737797
"X550",377.88060071952
"X551",373.660979507648
"X552",371.093145163328
"X553",374.995969879306
"X554",372.06404199614
"X555",378.31736240685
"X556",386.041898263451
"X557",377.192937380259
"X558",380.569087785906
"X559",380.604929084809
"X560",378.976696276319
"X561",375.656036256936
"X562",377.01382927866
"X563",380.348550497037
"X564",381.408525293021
"X565",375.759144495364
"X566",373.572002324475
"X567",382.548044189726
"X568",377.127569281944
"X569",378.094051922849
"X570",373.982832980206
"X571",378.463706644542
"X572",377.201838175901
"X573",375.699379660706
"X574",375.844191933638
"X575",372.188148820705
"X576",373.703377434745
"X577",375.254599581681
"X578",372.642175646117
"X579",372.801029714889
"X580",368.983711749517
"X581",373.853656938189
"X582",384.74763632233
"X583",377.101719288445
"X584",371.960761693832
"X585",378.231937680769
"X586",369.480734584192
"X587",376.835841789557
"X588",375.768435651112
"X589",376.874394360977
"X590",371.613080961205
"X591",371.587783632949
"X592",375.917836945881
"X593",380.757943802627
"X594",378.32449311425
"X595",376.353673922587
"X596",375.09375990658
"X597",374.002761723973
"X598",380.362172129875
"X599",379.364398057282
"X600",370.547467155605
"X601",373.453051945215
"X602",386.046362788929
"X603",375.936785393569
"X604",375.010634827168
"X605",370.554552018191
"X606",373.100965296038
"X607",375.21700597599
"X608",375.716169810339
"X609",372.616621932793
"X610",371.914648368626
"X611",372.222332294366
"X612",374.386233876836
"X613",375.597412013826
"X614",378.343704248668
"X615",381.254620610284
"X616",380.848231678219
"X617",371.979108946115
"X618",379.017243948314
"X619",372.498846613031
"X620",375.666988825477
"X621",372.729542608695
"X622",370.151887973089
"X623",374.243076797752
"X624",374.89440981684
"X625",376.968435971536
"X626",375.217282883486
"X627",379.31725911105
"X628",374.999632566842
"X629",377.063174670038
"X630",372.715319841068
"X631",375.414380706817
"X632",376.993338870104
"X633",375.655846079577
"X634",376.422784279544
"X635",375.993685829676
"X636",370.010132185617
"X637",374.794338528001
"X638",381.206859667816
"X639",378.213067615487
"X640",376.3656405744
"X641",373.720270537594
"X642",370.636117657007
"X643",380.204550155799
"X644",377.033834200045
"X645",376.618172456355
"X646",377.265162452889
"X647",372.153886724913
"X648",376.494377253409
"X649",375.747643146251
"X650",374.371047995141
"X651",371.652135536693
"X652",375.147454132453
"X653",380.129643310256
"X654",372.556491909763
"X655",374.845159368559
"X656",378.454881909225
"X657",370.478074762791
"X658",375.425971535181
"X659",377.957613569326
"X660",378.558820576068
"X661",373.337419442485
"X662",373.839975875658
"X663",377.950840681798
"X664",374.5269059153
"X665",378.61888741742
"X666",370.63254970581
"X667",370.868896422259
"X668",374.48899383629
"X669",375.500227005709
"X670",375.129857295079
"X671",375.900549891232
"X672",379.421692746561
"X673",380.130528085832
"X674",375.863750611373
"X675",367.719827472954
"X676",376.499325791618
"X677",370.522676835022
"X678",378.144961073373
"X679",372.577095909155
"X680",378.140536692502
"X681",372.797553714483
"X682",374.474586035044
"X683",380.485031314966
"X684",368.541635010613
"X685",378.902623374623
"X686",373.786715792441
"X687",374.335121692537
"X688",379.623456813073
"X689",379.354194644115
"X690",378.410495951404
"X691",381.336031318412
"X692",376.916692790633
"X693",374.753240945939
"X694",383.991680119617
"X695",375.343761149876
"X696",379.470471475431
"X697",375.935128487087
"X698",376.855516286887
"X699",377.130155883546
"X700",381.065981179004
"X701",374.705695965446
"X702",371.679877013818
"X703",374.190544466169
"X704",373.417947800231
"X705",380.461115167998
"X706",372.477370041949
"X707",370.075270483696
"X708",372.81874280955
"X709",377.655246544031
"X710",370.743569234355
"X711",376.606528540994
"X712",375.355255932197
"X713",376.047886841828
"X714",374.485029079468
"X715",373.133837517844
"X716",375.887485696563
"X717",371.591586777016
"X718",369.979825863465
"X719",372.925177671559
"X720",379.738597854975
"X721",372.791289278892
"X722",374.515502994191
"X723",375.943338592446
"X724",372.133698002871
"X725",375.630061244119
"X726",378.678792932599
"X727",373.924338145537
"X728",369.756818491925
"X729",371.75327470834
"X730",377.272832886209
"X731",373.512666566583
"X732",368.918085759953
"X733",378.060418336029
"X734",372.433528154289
"X735",373.183753229715
"X736",375.847011168632
"X737",373.878951064768
"X738",373.615622586788
"X739",367.403814140126
"X740",373.031007319248
"X741",371.187206748362
"X742",379.454680664305
"X743",374.496656609349
"X744",377.116710769769
"X745",378.486779296261
"X746",375.50764893576
"X747",373.424771973713
"X748",376.359692080417
"X749",380.384702817585
"X750",368.156269460444
"X751",375.184578789511
"X752",370.383432999517
"X753",375.44019427801
"X754",379.236864890208
"X755",376.624817979818
"X756",375.179843182803
"X757",375.753961844816
"X758",379.707274283896
"X759",376.930939408821
"X760",372.804757422564
"X761",376.268324832388
"X762",373.933304908242
"X763",370.195946924329
"X764",377.104542069623
"X765",373.186993085612
"X766",377.100717710111
"X767",376.282721912904
"X768",372.72248970717
"X769",372.605339641781
"X770",380.338561913338
"X771",368.773916598434
"X772",378.892123790134
"X773",378.195913253428
"X774",375.703888508146
"X775",373.754994204443
"X776",372.326567001832
"X777",371.651955891993
"X778",370.036971023056
"X779",381.665388641018
"X780",375.638919279953
"X781",374.501149138784
"X782",374.07147516117
"X783",368.695279609042
"X784",377.242725251563
"X785",375.682193415826
"X786",375.566012291723
"X787",369.559676970972
"X788",378.369728662706
"X789",372.333215822129
"X790",377.72888743188
"X791",376.239843584313
"X792",377.581874961886
"X793",379.386081327763
"X794",375.567964080752
"X795",367.938593951477
"X796",375.023473019415
"X797",372.760236384232
"X798",375.788253892401
"X799",373.768560487473
"X800",376.156635047204
"X801",377.65320999405
"X802",373.180342258955
"X803",376.615839321803
"X804",375.490472258232
"X805",367.194416332685
"X806",377.995353589724
"X807",371.69377062184
"X808",378.233133648263
"X809",373.718791085291
"X810",369.63790244583
"X811",372.057876668871
"X812",374.596559185317
"X813",374.556122580382
"X814",372.450625095773
"X815",376.954979380932
"X816",376.736908945524
"X817",376.482219787176
"X818",373.826677523007
"X819",370.880726184057
"X820",381.64871835363
"X821",373.332863058426
"X822",375.047714219925
"X823",376.619167992587
"X824",374.527754710627
"X825",375.077406738592
"X826",371.516455638075
"X827",375.780047504364
"X828",374.094243199574
"X829",377.107524743156
"X830",376.294519685007
"X831",374.168407760594
"X832",372.940129534004
"X833",376.172805864653
"X834",372.833053171287
"X835",376.623016438396
"X836",379.466574179614
"X837",373.921787310317
"X838",381.778860597535
"X839",379.800648193792
"X840",372.686525853059
"X841",375.078593307618
"X842",376.172480237038
"X843",376.718361606108
"X844",371.626751383731
"X845",372.216754434121
"X846",374.698569938545
"X847",372.503350465307
"X848",379.958413689206
"X849",380.722543239511
"X850",372.898485175343
"X851",372.502039937857
"X852",374.857527704168
"X853",377.961662317979
"X854",370.63706645113
"X855",375.750052478116
"X856",377.936320326212
"X857",370.209839837645
"X858",371.912024092139
"X859",378.617111556033
"X860",375.023367890872
"X861",374.937940314104
"X862",376.243114380165
"X863",372.930945738366
"X864",371.258709397276
"X865",367.813460755819
"X866",379.032028047508
"X867",373.950384780864
"X868",378.967840310037
"X869",374.167776326648
"X870",373.349308600392
"X871",374.566365692318
"X872",378.518450808579
"X873",370.565856959837
"X874",374.878735751253
"X875",368.794965414508
"X876",375.789905094815
"X877",373.583327717213
"X878",380.782320606271
"X879",372.946150934699
"X880",376.250557422959
"X881",375.700849565339
"X882",372.985309185688
"X883",377.21028388154
"X884",370.746754454996
"X885",376.515314152753
"X886",375.238107508537
"X887",375.206379745814
"X888",373.614229364002
"X889",370.007806977275
"X890",369.797536358171
"X891",376.890679419533
"X892",378.530690533519
"X893",374.37893868172
"X894",379.098238171548
"X895",375.843087847334
"X896",369.449064183381
"X897",374.399302182675
"X898",375.941578711955
"X899",367.052953604027
"X900",374.869477164016
"X901",383.513905699484
"X902",372.677884703963
"X903",374.010019735822
"X904",376.78148676604
"X905",378.258125334321
"X906",372.0484683049
"X907",375.071177755281
"X908",373.023627402516
"X909",374.164249648512
"X910",372.736349556849
"X911",379.064717179413
"X912",374.089847633117
"X913",377.141239816173
"X914",373.779213972387
"X915",374.916425879045
"X916",373.345036119463
"X917",370.311346275995
"X918",377.50052481082
"X919",377.8063626524
"X920",375.176466486534
"X921",371.211731836799
"X922",378.898579010817
"X923",374.762974660193
"X924",375.927435717713
"X925",374.670067073586
"X926",373.793187034481
"X927",376.717966064666
"X928",371.809195574769
"X929",376.127658125787
"X930",376.965947090663
"X931",373.170734982342
"X932",372.78844968392
"X933",372.714172601615
"X934",368.954269259131
"X935",377.696416332665
"X936",369.247983704561
"X937",376.447340613806
"X938",374.72217093164
"X939",375.086812780575
"X940",370.083745516177
"X941",376.865544758874
"X942",374.186365051729
"X943",376.957322414276
"X944",376.675175577866
"X945",377.307154329358
"X946",376.179593326476
"X947",375.063711710192
"X948",377.731953273793
"X949",376.248543546622
"X950",379.033726945654
"X951",373.982196747404
"X952",372.260235059672
"X953",372.084032311311
"X954",378.371729762676
"X955",367.845170433283
"X956",368.961320990153
"X957",376.746141532038
"X958",377.305095748919
"X959",374.606094959535
"X960",367.580359225707
"X961",374.068589263781
"X962",375.411664356482
"X963",372.56656870671
"X964",377.831220628285
"X965",379.250543159575
"X966",373.922109432691
"X967",375.967319450546
"X968",375.290957720299
"X969",378.205587411603
"X970",378.180664321727
"X971",377.84658668498
"X972",375.034363190217
"X973",374.342429000994
"X974",371.718690809844
"X975",375.264213910351
"X976",374.923296658732
"X977",378.615022431825
"X978",376.873879087583
"X979",374.94223457758
"X980",379.356036414215
"X981",373.517644101935
"X982",374.48018285477
"X983",378.222821962842
"X984",371.580180990304
"X985",373.872383484597
"X986",369.25326446217
"X987",375.18966594086
"X988",379.126315310477
"X989",373.073582539388
"X990",376.6368772175
"X991",376.64881150046
"X992",379.721036198507
"X993",372.393426058221
"X994",377.739695655979
"X995",371.850541016202
"X996",372.777552612089
"X997",376.255376247742
"X998",374.16185812812
"X999",372.940567208412
"X1000",371.965471478794
